"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39899",25.37,66.1,23.76,23.29,36.85435775,33.43,12.31984754,NA,20.83,24.957113089,42.28,8.35,9.25,18.55229355,28.9,9.72665694,21.581352,20.28,0.714144366,NA,8.31,32.595,95,51.101493821,26.63,42.86028536,13.26,44.17429324,NA,4.71
"39902",24.47,60.72,22.27,21.62,35.8604218,32.99,11.26579465,NA,19.08,22.370521536,41.63,7.95,9.18,18.00844381,28.85,9.4999905,19.921248,19.8,0.684722688,NA,8.06,32.345,90.5,49.429461303,26.125,40.07916352,12.38,41.42085507,NA,4.71
"39903",25.06,63.59,22.97,21.7,36.017877,33.74,11.9910604,NA,19.41,24.017240483,45.5,8.12,9.37,18.46457585,29.23,9.54999045,22.734202,20.39,0.782794948,NA,8.21,33.195,92,50.455481257,26.88,41.90094368,13.3,43.08087014,NA,5.02
"39904",25.14,64.72,23.14,22.77,35.43726095,34.02,12.36819859,NA,19.425,24.265801833,46.6,8.2,9.56,18.32422753,29.49,9.58665708,22.503632,20.72,0.749807006,NA,8.33,33.78,93.6,50.626484583,27.025,41.90094368,13.07,46.2219765,NA,5.17
"39905",26.39,69.4,24.98,26.015,36.3918331,34.29,13.71235778,NA,22.09,27.147559989,48.6,8.67,9.705,19.21894807,29.15,9.87665679,24.255964,21.2,0.791710608,NA,8.675,34.31,97.9,51.833008047,27.56,43.5579884,15.05,49.04499614,NA,5.35
"39906",27.04,71.67,25.82,27.115,36.0572408,34.37,15.53035726,NA,23.74,27.57477481,47.9,8.89,9.47,18.95579497,28.04,9.4999905,25.5840472,21.36,0.82024072,NA,9.06,33.51,98.8,50.046973312,27.615,45.87397488,15.63,47.713008,NA,5.51
"39909",26.65,69.06,25.68,25.055,36.32294645,34.02,15.7624423,NA,22.885,27.100954736,46.15,8.82,9.315,19.1224586,27.67,9.2666574,27.1427004,21.32,1.00301175,NA,9.09,32.74,99,51.215496038,27.59,43.2188272,15.35,49.70105,NA,5.46
"39910",26.21,66.98,25.05,23.855,36.4902426,34.3,15.5690381,NA,22.45,25.834845357,44.8,8.64,9.43,19.41192701,28.55,9.25999074,26.2111976,21.63,0.97180694,NA,8.935,32.185,98,51.614503798,27.675,42.47267256,14.83,52.24574376,NA,5.37
"39911",26.25,68.13,25.38,25.375,36.36231025,34.24,15.68508062,NA,24.095,26.331968058,45.3,8.66,9.55,19.76279781,28.96,9.33665733,27.8620788,21.61,1.12337316,NA,9.265,32.385,97.95,52.868528186,28.735,42.6858596,15.03,53.82623715,NA,6.03
"39912",27.62,69.7,26.75,25.97,37.001972,33.94,16.68111225,NA,24.35,28.747673682,47.49,8.88,9.46,20.27156047,28.25,9.64999035,28.221768,20.38,1.19024061,NA,9.51,32.115,99,53.628542967,29.1,44.5270204,15.92,57.30531065,NA,6.12
